Category,ProductID,FileName,Name,Brand,BigBasket Search
"Rice (Biyyam)","24-mantra-organic-brown-rice","24-mantra-organic-brown-rice.jpg","24 Mantra Organic Brown Rice","24 Mantra","https://www.bigbasket.com/ps/?q=24%20Mantra%2024%20Mantra%20Organic%20Brown%20Rice"
"Rice (Biyyam)","24-mantra-organic-sona-masoori","24-mantra-organic-sona-masoori.jpg","24 Mantra Organic Sona Masoori","24 Mantra","https://www.bigbasket.com/ps/?q=24%20Mantra%2024%20Mantra%20Organic%20Sona%20Masoori"
"Rice (Biyyam)","ambemohar-rice","ambemohar-rice.jpg","Ambemohar Rice","Local","https://www.bigbasket.com/ps/?q=Ambemohar%20Rice"
"Rice (Biyyam)","bb-royal-sona-masoori-rice","bb-royal-sona-masoori-rice.jpg","BB Royal Sona Masoori Rice","BB Royal","https://www.bigbasket.com/ps/?q=BB%20Royal%20BB%20Royal%20Sona%20Masoori%20Rice"
"Rice (Biyyam)","broken-rice-biyyam-nukalu","broken-rice-biyyam-nukalu.jpg","Broken Rice (Biyyam Nukalu)","Local","https://www.bigbasket.com/ps/?q=Broken%20Rice"
"Rice (Biyyam)","daawat-biryani-basmati","daawat-biryani-basmati.jpg","Daawat Biryani Basmati","Daawat","https://www.bigbasket.com/ps/?q=Daawat%20Daawat%20Biryani%20Basmati"
"Rice (Biyyam)","daawat-rozana-basmati","daawat-rozana-basmati.jpg","Daawat Rozana Basmati","Daawat","https://www.bigbasket.com/ps/?q=Daawat%20Daawat%20Rozana%20Basmati"
"Rice (Biyyam)","deccan-gold-sona-masoori-rice","deccan-gold-sona-masoori-rice.jpg","Deccan Gold Sona Masoori Rice","Deccan","https://www.bigbasket.com/ps/?q=Deccan%20Deccan%20Gold%20Sona%20Masoori%20Rice"
"Rice (Biyyam)","fortune-biryani-special-basmati","fortune-biryani-special-basmati.jpg","Fortune Biryani Special Basmati","Fortune","https://www.bigbasket.com/ps/?q=Fortune%20Fortune%20Biryani%20Special%20Basmati"
"Rice (Biyyam)","idli-rice","idli-rice.jpg","Idli Rice","Local","https://www.bigbasket.com/ps/?q=Idli%20Rice"
"Rice (Biyyam)","india-gate-basmati-rice","india-gate-basmati-rice.jpg","India Gate Basmati Rice","India Gate","https://www.bigbasket.com/ps/?q=India%20Gate%20India%20Gate%20Basmati%20Rice"
"Rice (Biyyam)","india-gate-feast-rozzana","india-gate-feast-rozzana.jpg","India Gate Feast Rozzana","India Gate","https://www.bigbasket.com/ps/?q=India%20Gate%20India%20Gate%20Feast%20Rozzana"
"Rice (Biyyam)","kohinoor-basmati-rice","kohinoor-basmati-rice.jpg","Kohinoor Basmati Rice","Kohinoor","https://www.bigbasket.com/ps/?q=Kohinoor%20Kohinoor%20Basmati%20Rice"
"Rice (Biyyam)","kolam-rice","kolam-rice.jpg","Kolam Rice","Local","https://www.bigbasket.com/ps/?q=Kolam%20Rice"
"Rice (Biyyam)","lal-qilla-traditional-basmati","lal-qilla-traditional-basmati.jpg","Lal Qilla Traditional Basmati","Lal Qilla","https://www.bigbasket.com/ps/?q=Lal%20Qilla%20Lal%20Qilla%20Traditional%20Basmati"
"Rice (Biyyam)","ponni-boiled-rice","ponni-boiled-rice.jpg","Ponni Boiled Rice","Local","https://www.bigbasket.com/ps/?q=Ponni%20Boiled%20Rice"
